f_sigma,f_max,noise,alpha,beta,total_reward,seed
0.2,0.6,0.25,0.3,0.1,168,2
0.2,0.6,0.25,0.3,0.15,160,2
0.2,0.6,0.25,0.3,0.2,162,2
0.2,0.6,0.25,0.3,0.25,164,2
0.2,0.6,0.25,0.3,0.3,159,2
0.2,0.6,0.3,0.05,0.05,152,2
0.2,0.6,0.3,0.05,0.1,147,2
0.2,0.6,0.3,0.05,0.15,138,2
0.2,0.6,0.3,0.05,0.2,148,2
0.2,0.6,0.3,0.05,0.25,151,2
0.2,0.6,0.3,0.05,0.3,157,2
0.2,0.6,0.3,0.1,0.05,143,2
0.2,0.6,0.3,0.1,0.1,142,2
0.2,0.6,0.3,0.1,0.15,142,2
0.2,0.6,0.3,0.1,0.2,149,2
0.2,0.6,0.3,0.1,0.25,141,2
0.2,0.6,0.3,0.1,0.3,159,2
0.2,0.6,0.3,0.15,0.05,158,2
0.2,0.6,0.3,0.15,0.1,167,2
0.2,0.6,0.3,0.15,0.15,168,2
0.2,0.6,0.3,0.15,0.2,163,2
0.2,0.6,0.3,0.15,0.25,170,2
0.2,0.6,0.3,0.15,0.3,172,2
0.2,0.6,0.3,0.2,0.05,173,2
0.2,0.6,0.3,0.2,0.1,170,2
0.2,0.6,0.3,0.2,0.15,163,2
0.2,0.6,0.3,0.2,0.2,158,2
0.2,0.6,0.3,0.2,0.25,164,2
0.2,0.6,0.3,0.2,0.3,162,2
0.2,0.6,0.3,0.25,0.05,169,2
0.2,0.6,0.3,0.25,0.1,155,2
0.2,0.6,0.3,0.25,0.15,166,2
0.2,0.6,0.3,0.25,0.2,165,2
0.2,0.6,0.3,0.25,0.25,155,2
0.2,0.6,0.3,0.25,0.3,161,2
0.2,0.6,0.3,0.3,0.05,173,2
0.2,0.6,0.3,0.3,0.1,168,2
0.2,0.6,0.3,0.3,0.15,159,2
0.2,0.6,0.3,0.3,0.2,164,2
0.2,0.6,0.3,0.3,0.25,169,2
0.2,0.6,0.3,0.3,0.3,167,2
0.3,0.6,0.05,0.05,0.05,153,2
0.3,0.6,0.05,0.05,0.1,154,2
0.3,0.6,0.05,0.05,0.15,157,2
0.3,0.6,0.05,0.05,0.2,166,2
0.3,0.6,0.05,0.05,0.25,164,2
0.3,0.6,0.05,0.05,0.3,168,2
0.3,0.6,0.05,0.1,0.05,171,2
0.3,0.6,0.05,0.1,0.1,159,2
0.3,0.6,0.05,0.1,0.15,167,2
0.3,0.6,0.05,0.1,0.2,168,2
0.3,0.6,0.05,0.1,0.25,158,2
0.3,0.6,0.05,0.1,0.3,167,2
0.3,0.6,0.05,0.15,0.05,169,2
0.3,0.6,0.05,0.15,0.1,171,2
0.3,0.6,0.05,0.15,0.15,168,2
0.3,0.6,0.05,0.15,0.2,168,2
0.3,0.6,0.05,0.15,0.25,166,2
0.3,0.6,0.05,0.15,0.3,163,2
0.3,0.6,0.05,0.2,0.05,169,2
0.3,0.6,0.05,0.2,0.1,170,2
0.3,0.6,0.05,0.2,0.15,170,2
0.3,0.6,0.05,0.2,0.2,168,2
0.3,0.6,0.05,0.2,0.25,163,2
0.3,0.6,0.05,0.2,0.3,160,2
0.3,0.6,0.05,0.25,0.05,173,2
0.3,0.6,0.05,0.25,0.1,171,2
0.3,0.6,0.05,0.25,0.15,164,2
0.3,0.6,0.05,0.25,0.2,170,2
0.3,0.6,0.05,0.25,0.25,164,2
0.3,0.6,0.05,0.25,0.3,172,2
0.3,0.6,0.05,0.3,0.05,170,2
0.3,0.6,0.05,0.3,0.1,170,2
0.3,0.6,0.05,0.3,0.15,168,2
0.3,0.6,0.05,0.3,0.2,168,2
0.3,0.6,0.05,0.3,0.25,160,2
0.3,0.6,0.05,0.3,0.3,169,2
0.3,0.6,0.1,0.05,0.05,163,2
0.3,0.6,0.1,0.05,0.1,155,2
0.3,0.6,0.1,0.05,0.15,167,2
0.3,0.6,0.1,0.05,0.2,166,2
0.3,0.6,0.1,0.05,0.25,161,2
0.3,0.6,0.1,0.05,0.3,167,2
0.3,0.6,0.1,0.1,0.05,160,2
0.3,0.6,0.1,0.1,0.1,161,2
0.3,0.6,0.1,0.1,0.15,155,2
0.3,0.6,0.1,0.1,0.2,156,2
0.3,0.6,0.1,0.1,0.25,162,2
0.3,0.6,0.1,0.1,0.3,166,2
0.3,0.6,0.1,0.15,0.05,171,2
0.3,0.6,0.1,0.15,0.1,167,2
0.3,0.6,0.1,0.15,0.15,170,2
0.3,0.6,0.1,0.15,0.2,166,2
0.3,0.6,0.1,0.15,0.25,168,2
0.3,0.6,0.1,0.15,0.3,171,2
0.3,0.6,0.1,0.2,0.05,173,2
