f_sigma,f_max,noise,alpha,beta,total_reward,seed
0.2,0.6,0.05,0.1,0.05,166,1
0.2,0.6,0.05,0.1,0.1,171,1
0.2,0.6,0.05,0.1,0.15,177,1
0.2,0.6,0.05,0.1,0.2,177,1
0.2,0.6,0.05,0.1,0.25,175,1
0.2,0.6,0.05,0.1,0.3,176,1
0.2,0.6,0.05,0.15,0.05,163,1
0.2,0.6,0.05,0.15,0.1,154,1
0.2,0.6,0.05,0.15,0.15,161,1
0.2,0.6,0.05,0.15,0.2,165,1
0.2,0.6,0.05,0.15,0.25,162,1
0.2,0.6,0.05,0.15,0.3,158,1
0.2,0.6,0.05,0.2,0.05,160,1
0.2,0.6,0.05,0.2,0.1,163,1
0.2,0.6,0.05,0.2,0.15,166,1
0.2,0.6,0.05,0.2,0.2,164,1
0.2,0.6,0.05,0.2,0.25,163,1
0.2,0.6,0.05,0.2,0.3,164,1
0.2,0.6,0.05,0.25,0.05,147,1
0.2,0.6,0.05,0.25,0.1,158,1
0.2,0.6,0.05,0.25,0.15,165,1
0.2,0.6,0.05,0.25,0.2,165,1
0.2,0.6,0.05,0.25,0.25,168,1
0.2,0.6,0.05,0.25,0.3,162,1
0.2,0.6,0.05,0.3,0.05,138,1
0.2,0.6,0.05,0.3,0.1,149,1
0.2,0.6,0.05,0.3,0.15,160,1
0.2,0.6,0.05,0.3,0.2,161,1
0.2,0.6,0.05,0.3,0.25,165,1
0.2,0.6,0.05,0.3,0.3,166,1
0.2,0.6,0.1,0.05,0.05,150,1
0.2,0.6,0.1,0.05,0.1,157,1
0.2,0.6,0.1,0.05,0.15,162,1
0.2,0.6,0.1,0.05,0.2,147,1
0.2,0.6,0.1,0.05,0.25,161,1
0.2,0.6,0.1,0.05,0.3,162,1
0.2,0.6,0.1,0.1,0.05,154,1
0.2,0.6,0.1,0.1,0.1,168,1
0.2,0.6,0.1,0.1,0.15,157,1
0.2,0.6,0.1,0.1,0.2,168,1
0.2,0.6,0.1,0.1,0.25,169,1
0.2,0.6,0.1,0.1,0.3,153,1
0.2,0.6,0.1,0.15,0.05,145,1
0.2,0.6,0.1,0.15,0.1,141,1
0.2,0.6,0.1,0.15,0.15,161,1
0.2,0.6,0.1,0.15,0.2,160,1
0.2,0.6,0.1,0.15,0.25,160,1
0.2,0.6,0.1,0.15,0.3,163,1
0.2,0.6,0.1,0.2,0.05,120,1
0.2,0.6,0.1,0.2,0.1,142,1
0.2,0.6,0.1,0.2,0.15,150,1
0.2,0.6,0.1,0.2,0.2,151,1
0.2,0.6,0.1,0.2,0.25,157,1
0.2,0.6,0.1,0.2,0.3,158,1
0.2,0.6,0.1,0.25,0.05,99,1
0.2,0.6,0.1,0.25,0.1,129,1
0.2,0.6,0.1,0.25,0.15,133,1
0.2,0.6,0.1,0.25,0.2,143,1
0.2,0.6,0.1,0.25,0.25,143,1
0.2,0.6,0.1,0.25,0.3,151,1
0.2,0.6,0.1,0.3,0.05,87,1
0.2,0.6,0.1,0.3,0.1,124,1
0.2,0.6,0.1,0.3,0.15,128,1
0.2,0.6,0.1,0.3,0.2,135,1
0.2,0.6,0.1,0.3,0.25,142,1
0.2,0.6,0.1,0.3,0.3,141,1
0.2,0.6,0.15,0.05,0.05,126,1
0.2,0.6,0.15,0.05,0.1,138,1
0.2,0.6,0.15,0.05,0.15,148,1
0.2,0.6,0.15,0.05,0.2,151,1
